Date,gross_return,strategy_return,turnover,transaction_cost,strategy_equity,gross_strategy_equity,strategy_drawdown,price,short_sma,long_sma,signal,position,fallback_position,buy_hold_return,buy_hold_equity,buy_hold_drawdown
2025-07-31,0.0,0.0,0.0,0.0,13423.80868955874,13531.347177294892,-0.19040740350330987,206.74978637695312,210.32957458496094,220.485969619751,0.0,0.0,0.0,-0.007079572477626139,16442.5290121592,-0.19670006567711917
2025-08-01,0.0,0.0,0.0,0.0,13423.80868955874,13531.347177294892,-0.19040740350330987,201.58029174804688,208.03866271972657,220.36458656311035,0.0,0.0,0.0,-0.025003627425670194,16031.406142803397,-0.216785477945994
2025-08-04,0.0,0.0,0.0,0.0,13423.80868955874,13531.347177294892,-0.19040740350330987,202.5464630126953,205.90712280273436,220.2294236755371,0.0,0.0,0.0,0.004792984751981866,16108.244427998681,-0.2130315426842584
2025-08-05,0.0,0.0,0.0,0.0,13423.80868955874,13531.347177294892,-0.19040740350330987,202.11814880371094,204.24372253417968,220.079464263916,0.0,0.0,0.0,-0.0021146466969286237,16074.181182125696,-0.21469570293310802
2025-08-06,0.0,0.0,0.0,0.0,13423.80868955874,13531.347177294892,-0.19040740350330987,212.40733337402344,205.08040466308594,219.99122383117677,0.0,0.0,0.0,0.05090678215297206,16892.46602185157,-0.17471838815853102
2025-08-07,0.0,0.0,0.0,0.0,13423.80868955874,13531.347177294892,-0.19040740350330987,219.16053771972656,207.56255493164062,219.93491302490236,0.0,0.0,0.0,0.03179364967503995,17429.539168697836,-0.148479673708391
2025-08-08,0.0,0.0,0.0,0.0,13423.80868955874,13531.347177294892,-0.19040740350330987,228.4437255859375,212.93524169921875,219.91087440490722,0.0,0.0,0.0,0.04235793525056386,18167.818460252704,-0.11241103086279214
2025-08-11,0.0,0.0,0.0,0.0,13423.80868955874,13531.347177294892,-0.19040740350330987,226.5391082763672,217.73377075195313,219.86996765136718,0.0,0.0,0.0,-0.008337358816422502,18016.34683883795,-0.11981117857998758
2025-08-12,0.0,0.0,0.0,0.0,13423.80868955874,13531.347177294892,-0.19040740350330987,229.0021209716797,223.11056518554688,219.84445274353027,1.0,0.0,0.0,0.010872350977508605,18212.22688500233,-0.11024145678702946
2025-08-13,0.01602444528652036,0.01502444528652036,1.0,0.001,13625.493968751734,13748.179509790365,-0.17824372383287324,232.6717529296875,227.1634490966797,219.86259643554686,1.0,1.0,0.0,0.01602444528652036,18504.067718266742,-0.09598356969309918
2025-08-14,-0.0023571690519698096,-0.0023571690519698096,0.0,0.0,13593.376376050792,13715.772726528963,-0.18018074229531633,232.12330627441406,229.7560028076172,219.87894065856935,1.0,1.0,0.0,-0.0023571690519698096,18460.45050250569,-0.09811448924509081
2025-08-15,-0.005112200001143763,-0.005112200001143763,0.0,0.0,13523.8843173256,13645.654953180714,-0.18437182230549176,230.9366455078125,230.25458679199218,219.88518280029297,1.0,1.0,0.0,-0.005112200001143763,18366.076987425666,-0.10272510835420368
2025-08-18,-0.0030225976605757765,-0.0030225976605757765,0.0,0.0,13483.007056226154,13604.409628442207,-0.18683713812729086,230.23861694335938,230.99448852539064,219.87805892944337,1.0,1.0,0.0,-0.0030225976605757765,18310.56372608952,-0.10543720934258549
2025-08-19,-0.0014291945916864446,-0.0014291945916864446,0.0,0.0,13463.737215461724,13584.96627977815,-0.18799930609163962,229.90956115722656,231.1759765625,219.86794975280762,1.0,1.0,0.0,-0.0014291945916864446,18284.394367441462,-0.10671571364491705
2025-08-20,-0.019734587754066668,-0.019734587754066668,0.0,0.0,13198.035911885501,13316.872570593832,-0.2040238050419373,225.3723907470703,229.71610412597656,219.8528719329834,1.0,1.0,0.0,-0.019734587754066668,17923.559382267227,-0.1243443107833202
2025-08-21,-0.004911305040181113,-0.004911305040181113,0.0,0.0,13133.216331590967,13251.469347218424,-0.20793308694009893,224.26551818847656,228.14454650878906,219.85305381774901,1.0,1.0,0.0,-0.004911305040181113,17835.53131473511,-0.12864492298323338
2025-08-22,0.01271681885277487,0.01271681885277487,0.0,0.0,13300.229064634113,13419.985882440102,-0.19786051548743966,227.11746215820312,227.38070983886718,219.88238388061524,1.0,1.0,0.0,0.01271681885277487,18062.342535607593,-0.1175640583123655
2025-08-25,-0.0026343069945183872,-0.0026343069945183872,0.0,0.0,13265.192178180449,13384.63351976365,-0.19997359714207064,226.5191650390625,226.6368194580078,219.91318916320802,1.0,1.0,0.0,-0.0026343069945183872,18014.760780328652,-0.11988866548576771
2025-08-26,0.00946463359101557,0.00946463359101557,0.0,0.0,13390.742361661334,13511.31417177824,-0.19240164037588192,228.6630859375,226.3875244140625,219.94756744384765,1.0,1.0,0.0,0.00946463359101557,18185.26389034426,-0.11155873418529083
2025-08-27,0.005145918125483151,0.005145918125483151,0.0,0.0,13459.650025493884,13580.84228827389,-0.18824580533898172,229.8397674560547,227.28099975585937,219.9914520263672,1.0,1.0,0.0,0.005145918125483151,18278.843769414278,-0.10698688817210766
