Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown
2015-03-25,27.40934181213379,28.124124622344972,,0.0,0.0,-0.026126746613374552,-0.0,-0.026126746613374552,0.0,0.0,10000.0,11329.635940637478,0.0,-0.0723309239766391
2015-03-26,27.60039520263672,28.055478954315184,,0.0,0.0,0.006970374984281991,0.0,0.006970374984281991,0.0,0.0,10000.0,11408.607751579118,0.0,-0.06586472265543397
2015-03-27,27.38046646118164,27.997607612609862,,0.0,0.0,-0.007968318563571386,-0.0,-0.007968318563571386,0.0,0.0,10000.0,11317.700330647707,0.0,-0.07330821012678546
2015-03-30,28.073585510253906,27.967394733428954,,0.0,0.0,0.025314362341303687,0.0,0.025314362341303687,0.0,0.0,10000.0,11604.200697688015,0.0,-0.04984959837922376
2015-03-31,27.642602920532227,27.91263370513916,,0.0,0.0,-0.015351889752887593,-0.0,-0.015351889752887593,0.0,0.0,10000.0,11426.054287906727,0.0,-0.06443620259356775
2015-04-01,27.602622985839844,27.864982318878173,,0.0,0.0,-0.0014463158483055683,-0.0,-0.0014463158483055683,0.0,0.0,10000.0,11409.528604506528,0.0,-0.06578932334085763
2015-04-02,27.84031867980957,27.852874565124512,,0.0,0.0,0.008611344439681146,0.0,0.008611344439681146,0.0,0.0,10000.0,11507.779985214329,0.0,-0.057744513424918154
2015-04-06,28.291301727294922,27.861205768585204,,0.0,0.0,0.016198918290846187,0.0,0.016198918290846187,0.0,0.0,10000.0,11694.19357290385,0.0,-0.04248099378878689
2015-04-07,27.993610382080078,27.84865427017212,,0.0,0.0,-0.010522362953968911,-0.0,-0.010522362953968911,0.0,0.0,10000.0,11571.143023675784,0.0,-0.052556356307465024
2015-04-08,27.902530670166016,27.86076192855835,,0.0,0.0,-0.0032535893252400028,-0.0,-0.0032535893252400028,0.0,0.0,10000.0,11533.495276253127,0.0,-0.05563894883284959
2015-04-09,28.11579132080078,27.908746910095214,,0.0,0.0,0.007643057655081664,0.0,0.007643057655081664,0.0,0.0,10000.0,11621.646445614142,0.0,-0.048421142871565515
2015-04-10,28.23575782775879,27.93818244934082,,0.0,0.0,0.004266872861204307,0.0,0.004266872861204307,0.0,0.0,10000.0,11671.234533435443,0.0,-0.04436087687078849
2015-04-13,28.180221557617188,27.974393558502197,,0.0,0.0,-0.001966877265359046,-0.0,-0.001966877265359046,0.0,0.0,10000.0,11648.278647572955,0.0,-0.04624050173595895
2015-04-14,28.058029174804688,27.989388465881348,,0.0,0.0,-0.0043361044043839225,-0.0,-0.0043361044043839225,0.0,0.0,10000.0,11597.770495225723,0.0,-0.05037610249710467
2015-04-15,28.1646671295166,27.986500549316407,,0.0,0.0,0.0038006217060915226,0.0,0.0038006217060915226,0.0,0.0,10000.0,11641.849233512145,0.0,-0.0467669412996321
2015-04-16,28.029150009155273,27.960952758789062,,0.0,0.0,-0.004811600284077455,-0.0,-0.004811600284077455,0.0,0.0,10000.0,11585.833308432992,0.0,-0.051353517755666656
2015-04-17,27.713687896728516,27.93040599822998,,0.0,0.0,-0.011254786974407627,-0.0,-0.011254786974407627,0.0,0.0,10000.0,11455.437222625582,0.0,-0.06203033182734785
