Date,gross_return,strategy_return,turnover,transaction_cost,strategy_equity,gross_strategy_equity,strategy_drawdown,price,short_sma,long_sma,signal,position,fallback_position,buy_hold_return,buy_hold_equity,buy_hold_drawdown
2016-06-23,0.0,0.0,0.0,0.0,7541.499130602218,7586.870264592644,-0.24585008693977817,21.87713050842285,22.278704833984374,22.682651138305665,0.0,0.0,0.0,0.005755999899686781,9042.900952081647,-0.2600894182280338
2016-06-24,0.0,0.0,0.0,0.0,7541.499130602218,7586.870264592644,-0.24585008693977817,21.262474060058594,22.198913478851317,22.6826478767395,0.0,0.0,0.0,-0.028095844111164836,8788.833016619257,-0.2808778305897002
2016-06-27,0.0,0.0,0.0,0.0,7541.499130602218,7586.870264592644,-0.24585008693977817,20.95287322998047,22.104325199127196,22.675340175628662,0.0,0.0,0.0,-0.01456090336447291,8660.859668377774,-0.2913488990057338
2016-06-28,0.0,0.0,0.0,0.0,7541.499130602218,7586.870264592644,-0.24585008693977817,21.305727005004883,22.032956504821776,22.669818687438966,0.0,0.0,0.0,0.01684035268821904,8806.711599776429,-0.2794149645320956
2016-06-29,0.0,0.0,0.0,0.0,7541.499130602218,7586.870264592644,-0.24585008693977817,21.490123748779297,21.986743640899657,22.67197904586792,0.0,0.0,0.0,0.008654797075504428,8882.931901574986,-0.2731784472744755
2016-06-30,0.0,0.0,0.0,0.0,7541.499130602218,7586.870264592644,-0.24585008693977817,21.763307571411133,21.962612533569335,22.674631118774414,0.0,0.0,0.0,0.012712063728686163,8995.852298005386,-0.2639390453768461
2016-07-01,0.0,0.0,0.0,0.0,7541.499130602218,7586.870264592644,-0.24585008693977817,21.82932472229004,21.93950605392456,22.677988548278808,0.0,0.0,0.0,0.0030334153327700175,9023.140454297489,-0.261706266791239
2016-07-05,0.0,0.0,0.0,0.0,7541.499130602218,7586.870264592644,-0.24585008693977817,21.62443733215332,21.898073768615724,22.680926342010498,0.0,0.0,0.0,-0.009385878525482116,8938.450354075088,-0.2686358020872611
2016-07-06,0.0,0.0,0.0,0.0,7541.499130602218,7586.870264592644,-0.24585008693977817,21.74736976623535,21.8582350730896,22.68638319015503,0.0,0.0,0.0,0.005684884753012431,8989.26441420853,-0.26447808090964775
2016-07-07,0.0,0.0,0.0,0.0,7541.499130602218,7586.870264592644,-0.24585008693977817,21.840709686279297,21.824087715148927,22.692117233276367,0.0,0.0,0.0,0.004292009610691538,9027.846423467361,-0.2613212137640376
