Date,price,short_sma,long_sma,signal,position,asset_return,strategy_return,buy_hold_return,trade,transaction_cost,strategy_equity,buy_hold_equity,strategy_drawdown,buy_hold_drawdown,model_forecast,entry_price,exit_price,long_forecast_price,cash_forecast_price
2015-03-17,28.22242546081543,28.362716960906983,,0.0,0.0,0.0167264299292495,0.0,0.0167264299292495,0.0,0.0,10000.0,11665.723607097609,0.0,-0.0448121107825081,CASH,,,,28.22242546081543
2015-03-18,28.54010581970215,28.359939861297608,,0.0,0.0,0.0112563096083926,0.0,0.0112563096083926,0.0,0.0,10000.0,11797.036603825032,0.0,-0.034060220167289,CASH,,,,28.54010581970215
2015-03-19,28.32462310791016,28.349388217926027,,0.0,0.0,-0.0075501721385783,-0.0,-0.0075501721385783,0.0,0.0,10000.0,11707.966946741044,0.0,-0.0413532317805264,CASH,,,,28.32462310791016
2015-03-20,27.96917724609375,28.30940055847168,,0.0,0.0,-0.0125490058759913,-0.0,-0.0125490058759913,0.0,0.0,10000.0,11561.043600730478,0.0,-0.0533832957079126,CASH,,,,27.96917724609375
2015-03-23,28.26019096374512,28.245086860656738,,0.0,0.0,0.0104048007952042,0.0,0.0104048007952042,0.0,0.0,10000.0,11681.333956380751,0.0,-0.0435339374703406,CASH,,,,28.26019096374512
2015-03-24,28.144670486450195,28.184217071533205,,0.0,0.0,-0.0040877458132934,-0.0,-0.0040877458132934,0.0,0.0,10000.0,11633.583632406871,0.0,-0.0474437276130036,CASH,,,,28.144670486450195
2015-03-25,27.40934181213379,28.12412462234497,,0.0,0.0,-0.0261267466133745,-0.0,-0.0261267466133745,0.0,0.0,10000.0,11329.635940637478,0.0,-0.0723309239766391,CASH,,,,27.40934181213379
2015-03-26,27.60039520263672,28.055478954315184,,0.0,0.0,0.0069703749842819,0.0,0.0069703749842819,0.0,0.0,10000.0,11408.607751579118,0.0,-0.0658647226554339,CASH,,,,27.60039520263672
2015-03-27,27.38046646118164,27.997607612609865,,0.0,0.0,-0.0079683185635713,-0.0,-0.0079683185635713,0.0,0.0,10000.0,11317.700330647707,0.0,-0.0733082101267854,CASH,,,,27.38046646118164
2015-03-30,28.073585510253903,27.967394733428957,,0.0,0.0,0.0253143623413036,0.0,0.0253143623413036,0.0,0.0,10000.0,11604.200697688017,0.0,-0.0498495983792237,CASH,,,,28.073585510253903
2015-03-31,27.642602920532227,27.91263370513916,,0.0,0.0,-0.0153518897528875,-0.0,-0.0153518897528875,0.0,0.0,10000.0,11426.054287906729,0.0,-0.0644362025935677,CASH,,,,27.642602920532227
2015-04-01,27.602622985839844,27.864982318878173,,0.0,0.0,-0.0014463158483055,-0.0,-0.0014463158483055,0.0,0.0,10000.0,11409.528604506528,0.0,-0.0657893233408576,CASH,,,,27.602622985839844
