name,total_return,cagr,ann_volatility,sharpe,sortino,calmar,max_drawdown,trades,win_rate,exposure,turnover,average_trade_return,average_win,average_loss,profit_factor,cost_drag,excess_cagr_vs_benchmark,drawdown_improvement_vs_benchmark,ticker,label,variant,short_window,long_window,spread_threshold,momentum_window,partial_exposure,entry_threshold,exit_threshold,min_hold_days,cooldown_days,cost_bps,benchmark_total_return,benchmark_cagr,benchmark_sharpe,benchmark_max_drawdown,upside_capture,downside_capture,missed_return_while_in_cash,average_holding_days,median_holding_days,trade_frequency_per_year,fallback_exposure,neighbor_sharpe,stable_neighbor_count,hot_pixel_risk,selection_score
AAPL_long_cash_hysteresis_trend_50_100_entry_0.020_exit_-0.010_hold_0_cool_0_10bps,2.791553866232782,0.12442532251585092,0.22645043353082178,0.632136634742036,0.6961602276324056,0.3787260488799719,-0.3285364787656434,22,0.7272727272727273,0.6572228051766352,1.9391395592864638,0.15689548749899113,0.25981204809684577,-0.11754867409528784,5.894002068425108,0.08441551631049071,-0.12365311684044822,0.056622651470248475,AAPL,full_hysteresis,long_cash_hysteresis,50,100,0.0,,False,0.02,-0.01,0,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6263431531180456,0.6413467591164068,1.340398700139637,170.8181818181818,136.0,1.935798602746326,0.0,0.6714303089522228,648,-0.03929367421018681,0.7073077006215525
AAPL_long_cash_hysteresis_trend_50_100_entry_0.020_exit_-0.010_hold_20_cool_10_10bps,2.791553866232782,0.12442532251585092,0.22645043353082178,0.632136634742036,0.6961602276324056,0.3787260488799719,-0.3285364787656434,22,0.7272727272727273,0.6572228051766352,1.9391395592864638,0.15689548749899113,0.25981204809684577,-0.11754867409528784,5.894002068425108,0.08441551631049071,-0.12365311684044822,0.056622651470248475,AAPL,full_hysteresis,long_cash_hysteresis,50,100,0.0,,False,0.02,-0.01,20,10,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6263431531180456,0.6413467591164068,1.340398700139637,170.8181818181818,136.0,1.935798602746326,0.0,0.6714303089522228,648,-0.03929367421018681,0.7073077006215525
AAPL_long_cash_hysteresis_trend_50_100_entry_0.020_exit_-0.010_hold_20_cool_5_10bps,2.791553866232782,0.12442532251585092,0.22645043353082178,0.632136634742036,0.6961602276324056,0.3787260488799719,-0.3285364787656434,22,0.7272727272727273,0.6572228051766352,1.9391395592864638,0.15689548749899113,0.25981204809684577,-0.11754867409528784,5.894002068425108,0.08441551631049071,-0.12365311684044822,0.056622651470248475,AAPL,full_hysteresis,long_cash_hysteresis,50,100,0.0,,False,0.02,-0.01,20,5,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6263431531180456,0.6413467591164068,1.340398700139637,170.8181818181818,136.0,1.935798602746326,0.0,0.6714303089522228,648,-0.03929367421018681,0.7073077006215525
AAPL_long_cash_hysteresis_trend_50_100_entry_0.020_exit_-0.010_hold_20_cool_0_10bps,2.791553866232782,0.12442532251585092,0.22645043353082178,0.632136634742036,0.6961602276324056,0.3787260488799719,-0.3285364787656434,22,0.7272727272727273,0.6572228051766352,1.9391395592864638,0.15689548749899113,0.25981204809684577,-0.11754867409528784,5.894002068425108,0.08441551631049071,-0.12365311684044822,0.056622651470248475,AAPL,full_hysteresis,long_cash_hysteresis,50,100,0.0,,False,0.02,-0.01,20,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6263431531180456,0.6413467591164068,1.340398700139637,170.8181818181818,136.0,1.935798602746326,0.0,0.6714303089522228,648,-0.03929367421018681,0.7073077006215525
AAPL_long_cash_hysteresis_trend_50_100_entry_0.020_exit_-0.010_hold_10_cool_10_10bps,2.791553866232782,0.12442532251585092,0.22645043353082178,0.632136634742036,0.6961602276324056,0.3787260488799719,-0.3285364787656434,22,0.7272727272727273,0.6572228051766352,1.9391395592864638,0.15689548749899113,0.25981204809684577,-0.11754867409528784,5.894002068425108,0.08441551631049071,-0.12365311684044822,0.056622651470248475,AAPL,full_hysteresis,long_cash_hysteresis,50,100,0.0,,False,0.02,-0.01,10,10,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6263431531180456,0.6413467591164068,1.340398700139637,170.8181818181818,136.0,1.935798602746326,0.0,0.6714303089522228,648,-0.03929367421018681,0.7073077006215525
AAPL_long_cash_hysteresis_trend_50_100_entry_0.020_exit_-0.010_hold_10_cool_5_10bps,2.791553866232782,0.12442532251585092,0.22645043353082178,0.632136634742036,0.6961602276324056,0.3787260488799719,-0.3285364787656434,22,0.7272727272727273,0.6572228051766352,1.9391395592864638,0.15689548749899113,0.25981204809684577,-0.11754867409528784,5.894002068425108,0.08441551631049071,-0.12365311684044822,0.056622651470248475,AAPL,full_hysteresis,long_cash_hysteresis,50,100,0.0,,False,0.02,-0.01,10,5,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6263431531180456,0.6413467591164068,1.340398700139637,170.8181818181818,136.0,1.935798602746326,0.0,0.6714303089522228,648,-0.03929367421018681,0.7073077006215525
AAPL_long_cash_hysteresis_trend_50_100_entry_0.020_exit_-0.010_hold_10_cool_0_10bps,2.791553866232782,0.12442532251585092,0.22645043353082178,0.632136634742036,0.6961602276324056,0.3787260488799719,-0.3285364787656434,22,0.7272727272727273,0.6572228051766352,1.9391395592864638,0.15689548749899113,0.25981204809684577,-0.11754867409528784,5.894002068425108,0.08441551631049071,-0.12365311684044822,0.056622651470248475,AAPL,full_hysteresis,long_cash_hysteresis,50,100,0.0,,False,0.02,-0.01,10,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6263431531180456,0.6413467591164068,1.340398700139637,170.8181818181818,136.0,1.935798602746326,0.0,0.6714303089522228,648,-0.03929367421018681,0.7073077006215525
AAPL_long_cash_hysteresis_trend_5_100_entry_0.010_exit_0.000_hold_20_cool_5_10bps,3.233072503873366,0.13537666886330268,0.205604337905498,0.7214788744048659,0.8273028426334471,0.40816290290594154,-0.3316731332011801,49,0.4583333333333333,0.6677159846100035,4.318992654774397,0.07236740875004523,0.23436997315075073,-0.06471168420439789,3.064563326432536,0.2123282333888561,-0.11270177049299646,0.053485997034711796,AAPL,full_hysteresis,long_cash_hysteresis,5,100,0.0,,False,0.01,0.0,20,5,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5928569750108887,0.5981883976874789,1.2544990876894044,76.36,42.0,4.311551433389544,0.0,0.7069486402521779,1620,0.01453023415268806,0.7072062770563765
AAPL_long_cash_hysteresis_trend_5_100_entry_0.010_exit_0.000_hold_20_cool_0_10bps,3.233072503873366,0.13537666886330268,0.205604337905498,0.7214788744048659,0.8273028426334471,0.40816290290594154,-0.3316731332011801,49,0.4583333333333333,0.6677159846100035,4.318992654774397,0.07236740875004523,0.23436997315075073,-0.06471168420439789,3.064563326432536,0.2123282333888561,-0.11270177049299646,0.053485997034711796,AAPL,full_hysteresis,long_cash_hysteresis,5,100,0.0,,False,0.01,0.0,20,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.5928569750108887,0.5981883976874789,1.2544990876894044,76.36,42.0,4.311551433389544,0.0,0.7069486402521779,1620,0.01453023415268806,0.7072062770563765
AAPL_long_cash_hysteresis_trend_5_150_entry_0.010_exit_-0.010_hold_20_cool_0_10bps,2.898109793898181,0.1271708503269393,0.2166784029452494,0.6620908459664507,0.7368866922186346,0.4014034621991326,-0.316815529268781,33,0.5,0.6848548443511717,2.908709338929696,0.10392653164305288,0.27564001209639255,-0.06778694881028685,4.0662696423734515,0.13066984469049636,-0.12090758902935983,0.0683436009671109,AAPL,full_hysteresis,long_cash_hysteresis,5,150,0.0,,False,0.01,-0.01,20,0,10.0,11.409992485744256,0.24807843935629914,0.917037911215516,-0.3851591302358919,0.6179778178297517,0.6312445177154571,1.3258456878662892,115.17647058823529,97.0,2.9036979041194892,0.0,0.7069175167781823,1620,-0.04482667081173153,0.7070851232197577
